,news_text
10,"        นางสุนิสา รามแก้ว ประชาสัมพันธ์จังหวัดสุราษฎร์ธานี กล่าวว่า คณะรัฐมนตรีมีมติอนุมัติวงเงิน 4,745 ล้านบาท สำหรับการจัดซื้อวัคซีนไฟเซอร์ เพิ่มเติมอีก จำนวน 9,998,820 โดส เพื่อเสริมสร้างภูมิคุ้มกันโรคแก่กลุ่มเป้าหมายหลัก 6 กลุ่ม ได้แก่ กลุ่มเด็กอายุ 12-17 ปี หญิงตั้งครรภ์ที่มีอายุครรภ์ตั้งแต่ 12 สัปดาห์ขึ้นไป บุคลากรทางการแพทย์และสาธารณสุขด่านหน้า(ฉีดกระตุ้นภูมิเข็มที่หนึ่ง) ผู้สูงอายุและผู้มีกลุ่ม 7 โรคเสี่ยง ชาวต่างชาติที่อาศัยอยู่ในประเทศไทย เน้นผู้สูงอายุ และโรคเรื้อรัง และผู้ที่มีความจำเป็นต้องการฉีดวัคซีนไฟเซอร์ก่อนเดินทางไปต่างประเทศ เช่น นักเรียน นักศึกษา นักกีฬา นักการทูต เป็นต้น โดยกลุ่มเป้าหมายสามารถปรับเปลี่ยนให้สอดคล้องกับสถานการณ์การแพร่ระบาดของโรคได้"
11,            นายจำเริญ ทิพญพงศ์ธาดา ผู้ว่าราชการจังหวัดพังงา กล่าวว่า จังหวัดพังงาออกคำสั่งจังหวัดพังงา ที่ 2674/2564 กำหนดมาตรการเข้า-ออกจังหวัดพังงา มีผลตั้งแต่วันที่ 1 -15 กันยายน 2564 เพื่อเป็นการเฝ้าระวัง ควบคุม ป้องกันการแพร่ระบาดของโรคโควิด-19 โดยได้กำหนดมาตรการเข้า-ออก จังหวัดพังงา ดังนี้
12,            วันที่ 2 กันยายน 2564 เวลา 13.40 น. ที่ โรงพยาบาลเสนา อ.เสนา จ.พระนครศรีอยุธยา นางสรัลพัชร ประโมทะกะ รองผู้ว่าราชการจังหวัดพระนครศรีอยุธยา  เดินทางไปตรวจเยี่ยมให้กำลังใจเจ้าหน้าที่และประชาชนจุดบริการฉีดวัคซีน ณ จุดฉีดวัคซีนอาคาร 100 ปี สธ. และอาคาร 40 ปี โรงพยาบาลเสนา โดยมี นายวัชรินทร์ รื่นถวิล นายอำเภอเสนา ดร.นพ.วัฒน์ชัย จรูญวรรธนะ ผอ.รพ.เสนา รองผู้อำนวยการฝ่ายการแพทย์ ผู้ช่วยผู้อำนวยการกลุ่มภารกิจด้านปฐมภูมิ และเจ้าหน้าที่ที่เกี่ยวข้อง ให้การต้อนรับและให้ข้อมูล สำหรับวันนี้เป็นการฉีดวัคซีน SINOVAC เข็มที่ 1 ในกลุ่มประชาชนทั่วไป จำนวน 260 ราย AstraZeneca เข็มที่ 2 จำนวน 555 ราย และ Pfizer สำหรับทุกกลุ่มอายุผู้สูงอายุ กลุ่มผู้ป่วย 7 โรคเรื้อรัง และประชาชนทั่วไป อายุ 18 - 59 ปี จำนวน 540 ราย นอกจากนี้ ยังให้บริการฉีดวัคซีนเชิงรุกนอกสถานที่ให้กลุ่มเปราะบาง ผู้ป่วยติดเตียง โดยการสำรวจและประสานงานจากผู้นำชุมชนอีกด้วย
13,           ศูนย์ควบคุมและป้องกันโรคของสหรัฐหรือซีดีซี รายงานว่า สหรัฐฯ ดำเนินการฉีดวัคซีนโควิด-19 ชนิดเอ็มอาร์เอ็นเอ ของไฟเซอร์-ไบโอเอ็นเทค หรือโมเดอร์นา เข็มที่ 3 ให้ประชาชนกลุ่มเสี่ยงสูงแล้ว กว่า 1 ล้านคน นับตั้งแต่วันที่ 13สิงหาคม ที่ผ่านมา หลังซีดีซีและสำนักงานคณะกรรมการอาหารและยาของสหรัฐฯ หรือเอฟดีเอ อนุมัติเป็นกรณีฉุกเฉินให้ดำเนินการฉีดวัคซีนโควิด-19 เข็มกระตุ้น แก่ผู้ที่มีภูมิคุ้มกันอ่อนแอ อาทิ ผู้ป่วยมะเร็ง ผู้ที่ใช้ยากดภูมิคุ้มกัน หรือผู้ที่ผ่านการปลูกถ่ายอวัยวะ
14,"กระทรวงสาธารณสุขอิสราเอล รายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 11,187 คน ซึ่งเป็นยอดผู้ติดเชื้อรายวันที่สูงที่สุด นับตั้งแต่พบการแพร่ระบาดโรคโควิด-19 ทำให้ในเวลานี้ อิสราเอลมียอดผู้ติดเชื้อสะสม รวมกว่า 1,088,000 คน และมียอดผู้เสียชีวิต 7,090 คน "
15,            เมื่อเวลา 08.00 น. วันที่ 2 กันยายน 2564 รอ.นพ.ภูรีวรรธน์ โชคเกิด สาธารณสุขนิเทศก์ เขตสุขภาพที่ 10 พร้อมด้วย นพ.ทนง วีระแสงพงษ์ นายแพทย์สาธารณสุขจังหวัดศรีสะเกษ นพ.พิเชษฐ์ จงเจริญ รองนายแพทย์สาธารณสุขจังหวัดศรีสะเกษ ตรวจเยี่ยมให้กำลังใจบุคลากรทางการแพทย์ เจ้าหน้าที่สาธารณสุข เจ้าหน้าที่ผู้ปฏิบัติงาน และผู้เข้ารับการฉีดวัคซีน      โดยมี นายพรชัย วงศ์งาม นายอำเภออุทุมพรพิสัย  นายอาสพลธ์ สรรณ์ไตรภพ สมาชิกสภาผู้แทนราษฎร เขต 7 จังหวัดศรีสะเกษ  นพ.อัครเดช บุญเย็น ผู้อำนวยการโรงพยาบาลอุทุมพรพิสัย  นายปรีชา ปิยะพันธ์ สาธารณสุขอำเภออุทุมพรพิสัย นายสมพงษ์ จิริวิภากร นายกเทศมนตรีตำบลกำแพง และจิตอาสาพระราชทาน ร่วมให้การต้อนรับ ณ หอประชุมที่ว่าการอำเภออุทุมพรพิสัย อำเภออุทุมพรพิสัย จังหวัดศรีสะเกษ 
16,          โรงพยาบาลสกลนคร จัดบริการวัคซีนเข็ม 2 จำนวนกว่า 500 คน พร้อมให้กลุ่มผู้สูงอายุ 60 ปีขึ้นไป และกลุ่มผู้ป่วย 7 โรคเรื้อรัง สามารถเลือกฉีดวัคซีน Astra Zeneca หรือ Pfizer ได้ตามความต้องการ
17,"            (3 ก.ย. 64) สำนักงานประชาสัมพันธ์จังหวัดตราด รายงานว่า คณะรัฐมนตรีมีมติอนุมัติวงเงิน 4,745 ล้านบาท สำหรับการจัดซื้อวัคซีนไฟเซอร์ เพิ่มเติมอีก จำนวน 9,998,820 โดส เพื่อเสริมสร้างภูมิคุ้มกันโรคแก่กลุ่มเป้าหมายหลัก 6 กลุ่ม ได้แก่"
18,สรุปข่าวประจำสัปดาห์ ( 30 สิงหาคม- 2 กันยายน 2564 )
19,"อนุมัติงบจัดซื้อวัคซีนไฟเซอร์เพิ่มเติม 9,998,820 โดส"
20,          ศูนย์ข้อมูลโควิด-19 จังหวัดลำปาง เปิดเผยมาตรการการควบคุมสถานการณ์การแพร่ระบาดในพื้นที่ ซึ่งบุคคลที่เดินมาจากพื้นที่สีแดงเข้ม และพื้นที่สีแดง (พื้นที่ควบคุมสูงสุดและเข้มงวด 29 จังหวัด และพื้นที่ควบคุมสูงสุด 37 จังหวัด) ให้ทุกคนลงทะเบียนเข้าพื้นที่ผ่าน QR Code “ลำปางชนะ” และให้รายงานตัวต่อเจ้าพนักงานควบคุมโรคในพื้นที่ โดยแจ้งได้ที่ อสม. หรือ จนท.สาธารณสุข รพ.สต. หรือผู้ใหญ่บ้าน หรือกำนัน นอกจากนี้ ให้กักตัวเองที่บ้าน หรือที่พัก หรือที่กักตัวในชุมชน เป็นเวลาอย่างน้อย 14 วัน
21,นายกรัฐมนตรีสกอตต์ มอร์ริสัน ของออสเตรเลียประกาศเมื่อวานนี้ว่า อังกฤษจะส่งมอบวัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทค อีก 4 ล้านโดส ให้ออสเตรเลียในไม่กี่สัปดาห์นี้ ภายใต้สัญญาแลกเปลี่ยนวัคซีนระหว่างกัน
22,นายแพทย์โอภาส การย์กวินพงศ์ อธิบดีกรมควบคุมโรค กล่าวถึงการจัดหาวัคซีนโควิด -19   ว่า ปัจจุบันไทยมีการใช้วัคซีน 3 ชนิดหลักคือ วัคซีนเชื้อตาย หรือซิโล วัคซีนชนิด  mRNA และชนิดไวรัลแว็กเตอร์  (Viral Vector)   ซึ่งวัคซีนเชื้อตาย หรือซิโนแวค  กระทรวงสาธารณสุขได้ดำเนินการจัดหาตั้งแต่เดือนกุมภาพันธ์-มีนาคม 2564 หากเทียบกับวัคซีนชนิดเดียวกันราคาถูกกว่าร้อยละ 50  เช่นเดียวกับวัคซีนไฟเซอร์และแอสตร้าเซนเนก้า  ซึ่งการลงนามของทุกบริษัทวัคซีนโควิด มีข้อกำหนดต้องไม่เปิดเผยข้อมูลในสัญญาจนกว่าบริษัทจะยินยอม   ไทยยืนยันถึงความจำเป็นต้องทำสัญญาเพื่อเดินหน้าฉีดวัคซีนป้องกันการแพร่ระบาด  ได้ทำตามขั้นตอนของกฎหมย โดยเฉพาะพระราชบัญญัติความมั่นคงด้านวัคซีน รวมถึงได้ปรึกษาอัยการสูงสุดและผ่านความเห็นชอบจากคณะรัฐมนตรี จึงไม่มีเรื่องเงินค่าส่วนต่างในการจัดหาวัคซีนอย่างแน่นอน  
23,"          วานนี้ 3 กันยายน 2564 คณะกรรมการโรคติดต่อจังหวัดเชียงราย ได้เผยแพร่คำสั่ง ที่ 72/2564 กำหนดมาตรการปฏิบัติต่อผู้เดินทางมาจากพื้นที่ควบคุมสูงสุดและเข้มงวดเข้าพื้นที่จังหวัดเชียงราย โดยกำหนดให้ผู้ที่เดินทางมาจากพื้นที่ควบคุมสูงสุดและเข้มงวด จะต้องมีคุณสมบัติดังต่อไปนี้จึงจะเดินทางเข้าพื้นที่ได้ คือ จะต้องเป็นผู้ป่วยโรคโควิด-19 แล้วไม่เกินสามเดือน นับจากการรักษาสิ้นสุด โดยใช้ใบรับรองแพทย์ที่ระบุว่าติดเชื้อมาแล้วภายในระยะเวลาไม่เกินสามเดือน หรือเป็นผู้ที่มีผลตรวจโควิด-19 ด้วยวิธี RT-PCR /Rapid Antigen Test/Antigen Test Kit (ATK) จากสถานพยาบาลที่ได้รับการรับรองโดยกระทรวงสาธารณสุข ไม่เกิน 72 ชั่วโมง ก่อนเดินทางมาถึง จ.เชียงราย หรือเป็นผู้ที่ได้รับวัคซีน Sinovac , Sino Pham , Moderna , Pfizer , Sinovac+Astra Zeneca , Sputnik V จำนวน 2 เข็ม หรือหากได้รับวัคซีน Johnson & Johnson , Aztra Zeneca จะต้องฉีดเข็มแรกแล้วไม่น้อยกว่า 14 วัน และวัคซีนอื่น ๆ ตามที่กระทรวงสาธารณสุขประกาศกำหนด โดยต้องแสดงหลักฐานการได้รับวัคซีนแก่พนักงานเจ้าหน้าที่ สำหรับเด็กอายุต่ำกว่า 18 ปี ที่เดินทางมากับผู้ปกครอง จะต้องมีผลตรวจโควิด-19 ด้วยวิธี RT-PCR /Rapid Antigen Test/Antigen Test Kit (ATK) จากสถานพยาบาลที่ได้รับการรับรองโดยกระทรวงสาธารณสุข ไม่เกิน 72 ชั่วโมง ก่อนเดินทางมาถึง จ.เชียงราย"
24,"          สำนักงานประชาสัมพันธ์จังหวัดแพร่ รายงานว่า ทางคณะรัฐมนตรีมีมติอนุมัติวงเงิน 4,745 ล้านบาท สำหรับการจัดซื้อวัคซีนไฟเซอร์ เพิ่มเติมอีก จำนวน 9,998,820 โดส เพื่อเสริมสร้างภูมิคุ้มกันโรคแก่กลุ่มเป้าหมายหลัก 6 กลุ่ม ได้แก่ เด็กอายุ 12-17 ปี , หญิงตั้งครรภ์ที่มีอายุครรภ์ตั้งแต่ 12 สัปดาห์ขึ้นไป , บุคลากรทางการแพทย์และสาธารณสุขด่านหน้า (ฉีดกระตุ้นภูมิเข็มที่หนึ่ง) , ผู้สูงอายุและผู้มีและกลุ่ม 7 โรคเสี่ยง , ชาวต่างชาติที่อาศัยอยู่ในประเทศไทย เน้นผู้สูงอายุและ โรคเรื้อรัง , ผู้ที่มีความจำเป็นต้องการฉีดวัคซีนไฟเซอร์ก่อนเดินทางไปต่างประเทศ เช่น นักเรียน นักศึกษา นักกีฬา นักการทูต เป็นต้น โดยกลุ่มเป้าหมายสามารถปรับเปลี่ยนให้สอดคล้องกับสถานการณ์การแพร่ระบาดของโรคได้"
25,
26,
27,
28,นายแพทย์ โสภณ เอี่ยมสิริถาวร รองอธิบดีกรมควบคุมโรค กล่าวถึงภาพรวมการฉีดวัคซีนโควิด-19 ให่กับประชาชน ว่าขณะนี้มีผู้ได้รับวัคซีนแล้วกว่า 35 ล้านโดส เป็นผู้ได้รับวัคซีนเข็มหนึ่ง 25 ล้านคน หรือคิดเป็นร้อยละ 35 และได้รับวัคซีนครบ 2 เข็มแล้วกว่า 13 ล้านคน ส่วนใหญ่เป็นกลุ่มเสี่ยงคือ ผู้สูงอายุตั้งแต่ 60 ปีขึ้นไป ผู้ที่มีโรคประจำตัวเรื้อรังใน 7 กลุ่มโรค และหญิงตั้งครรภ์ตั้งแต่อายุ 12 ปีขึ้นไป ตั้งแต่มีการรณรงค์เดือนมิถุนายนจนถึงปัจจุบัน โดยเฉพาะในพื้นที่ควบคุมสูงสุดและเข้มงวด พบว่ามีผู้สูงอายุได้รับวัคซีนแล้วกว่าร้อยละ 70 จึงตั้งเป้าขยายการฉีดวัคซีนในทุกพื้นที่ทุกจังหวัดให้ได้ร้อยละ 70 ภายในเดือนนี้ 
29,    สำนักข่าวต่างรายงานโดยอ้างการเปิดเผยของ นายแพทย์แอนโทนี เฟาซี ผู้อำนวยการสถาบันโรคภูมิแพ้และโรคติดต่อแห่งชาติของสหรัฐฯ ที่ระบุว่า รัฐบาลสหรัฐฯ เตรียมดำเนินการฉีดวัคซีนโควิด-19 เข็มที่ 3 หรือวัคซีนเข็มกระตุ้น ให้ประชาชนในวันที่ 20 กันยายน นี้ โดยจะใช้วัคซีนของไฟเซอร์-ไบโอเอ็นเทค ส่วนวัคซีนของโมเดอร์นา ยังต้องรอการอนุมัติจากทั้งสำนักงานอาหารและยาของสหรัฐฯ และศูนย์ควบคุมและป้องกันโรคแห่งชาติของสหรัฐฯ 
30,        นายเกริกชัย ผ่องแผ้ว รองผู้ว่าราชการจังหวัดอุบลราชธานี เปิดเผยถึงสถานการณ์การแพร่ระบาดโควิด-19 จังหวัดอุบลราชธานี วันที่ 6 ก.ย.2564 มีผู้ติดเชื้อรายใหม่ 81 ราย มาจากกรุงเทพมหานครและต่างจังหวัด 49 ราย ติดเชื้อในพื้นที่อุบลราชานี 32 ราย แยกเป็น อ.เมืองอุบลราชธานี 15 ราย เป็นคลัสเตอร์เรือนจำ / อ.วารินชำราบ  อ.นาจะหลวย อ.เขมราฐ อ.เขื่องใน พื้นที่ละ 3 ราย / อ.กุดข้าวปุ้น 2 ราย / อ.เดชอุดม อ.ตระการพืชผล อ.ทุ่งศรีอุดม พื้นที่ละ 1 ราย มีผู้รักษาหายเพิ่มอีก 126 ราย เสียชีวิตเพิ่ม 2 ราย เป็นหญิงอายุ 58 ปี อีกราย เป็นหญิงอายุ 77 ปี ผู้เสียชีวิตทั้งสองรายยังไม่ได้รับการฉีดวัคซีน
31,        ศูนย์ประสานงานเฝ้าระวังการแพร่ระบาดโรคโควิด-19 มหาวิทยาลัยอุบลราชธานี โดยโรงพยาบาลมหาวิทยาลัยอุบลราชธานี ซึ่งมี ผศ.ดร.ชุตินันท์ ประสิทธิ์ภูริปรีชา อธิการบดี เป็นผู้อำนวยการศูนย์ฯ ได้ให้บริการฉีดวัคซีนโควิด-19 ให้กับบุคลากร นักศึกษา และประชาชนโดยรอบมหาวิทยาลัย ในพื้นที่ 5 ตำบล ณ อาคารเฉลิมพระเกียรติ 7 รอบพระชนมพรรษา มหาวิทยาลัยอุบลราชธานี 
32,ประมวลข่าวทั่วไทยประจำวันที่ 6 กันยายน 2564
33,            วันนี้ (6 ก.ย.64) ที่บริเวณโถง หน้าห้องประชุม 1 ชั้น 5 ศาลากลางจังหวัดสงขลา นายวรณัฎฐ์ หนูรอต รองผู้ว่าราชการจังหวัดสงขลา พร้อมด้วย นายจรัญ จันทรปาน ปลัดจังหวัดสงขลา และนายแพทย์ปพน ดีไชยเศรษฐ รองนายแพทย์สาธารณสุขจังหวัด ร่วมแถลงข่าวสถานการณ์โรคโควิด-19 พร้อมขอความร่วมมือ พี่น้องประชาชนปฏิบัติตามมาตรการการป้องกันโควิด 19 อย่างเข้มข้นและต่อเนื่อง แม้ว่ารัฐบาลได้กำหนดให้มีการผ่อนคลายในหลายมาตรการ
34,"            ครม.อนุมัติ 4.7 พันล้านซื้อไฟเซอร์ 9.9 ล้านโดส ในขณะที่อุดรธานี รับ walk in ผู้สูงอายุฉีดวัคซีนศูนย์บริการฉีดวัคซีนใกล้บ้าน จังหวัดอุดรธานี ขอเชิญชวนกลุ่มผู้สูงอายุที่มีอายุ 60 ปีขึ้นไป เดินทางเข้ามารับการฉีดวัคซีนได้ทุกวันที่เปิดบริการ ณ ศูนย์บริการฉีดวัคซีนใกล้บ้าน walk in อำเภอเมืองอุดรธานี เข้ารับการฉีดวัคซีนได้ที่อาคารกิจกรรมนักศึกษา มหาวิทยาลัยราชภัฎอุดรธานี (กรมหลวงประจักษ์) ตั้งแต่เวลา 08.00 น. ทุกวันที่เปิดให้บริการฉีดวัคซีน โดยสัปดาห์นี้เปิดให้บริการ วันที่ 6 ,7,8,9และ 10 กันยายน 2564 "
35,     ยาแห่งยุโรปกำลังอยู่ระหว่างประเมินข้อมูลการใช้วัคซีนโควิด-19 ของไฟเซอร์/ ไบโอเอ็นเทค เป็นเข็มกระตุ้นในกลุ่มผู้มีอายุ 16 ปีขึ้นไปที่ได้รับวัคซีนครบ 2 โดสแล้วเป็นเวลา 6 เดือน โดยคาดว่า จะได้ผลสรุปภายในไม่กี่สัปดาห์ข้างหน้า นอกจากนี้องค์การยาแห่งยุโรปยังกำลังประเมินข้อมูลการใช้วัคซีนชนิด เอ็มอาร์เอ็นเอ เพิ่มเติมในผู้ที่มีระบบภูมิคุ้มกันอ่อนแอด้วย
36,"    คณะกรรมการสุขภาพแห่งชาติชิลีอนุมัติ ใช้วัคซีนโควิด-19 ของซิโนแวกเป็นกรณีฉุกเฉินในเด็กอายุตั้งแต่ 6 ปีขึ้นไปแล้ว ซึ่งจะขยายกลุ่มประชากรที่สามารถเข้ารับการฉีดวัคซีนได้ และช่วยเพิ่มความเชื่อมั่นให้กับผู้ปกครองในการให้บุตรหลานรับวัคซีนดังกล่าว เพื่อให้มีภูมิคุ้มกันต่อโรคโควิด-19 ก่อนกลับเข้าเรียนแบบปกติในสถานศึกษาอีกครั้ง ก่อนหน้านี้ชิลีได้อนุมัติใช้วัคซีนของไฟเซอร์/ไบโอเอ็นเทค เป็นกรณีฉุกเฉินในเด็กอายุตั้งแต่ 12 ปีขึ้นไป โดยจนถึงขณะนี้มีเด็กที่มีอายุเข้าเกณฑ์ได้รับการฉีดวัคซีนเข็มแรกของไฟเซอร์/ไบโอเอ็นเทค แล้วกว่า 654,000 คน นับตั้งแต่เดือนพฤษภาคมที่ผ่านมา"
