,news_text
10,        อย. ยืนยันวัคซีนโควิด-19 ได้รับการขึ้นทะเบียนขณะนี้มี 3 ราย อยู่ระหว่างพิจารณา 1 ราย และทยอยยื่นเอกสาร 2 ราย ตรวจสอบจากด่านอาหารและยา รวมทั้งบริษัทผู้ผลิตแล้ว ยืนยันยังไม่มีการนำเข้าวัคซีนไฟเซอร์แต่อย่างใด
11,"ศ.คลินิกเกียรติคุณ นายแพทย์อุดม คชินทร ประธานคณะกรรมการปฏิรูปประเทศด้านสาธารณสุข เปิดเผยว่า การเลือกวัคซีนให้กับคนไทย นอกจากประสิทธิภาพและประสิทธิผลแล้ว สิ่งสำคัญคือความปลอดภัย ซึ่งขณะนี้จากการฉีดวัคซีนทั่วโลกกว่า 1,000 ล้านโดส ยังไม่มีรายงานการเสียชีวิต แม้จะมีเหตุการณ์พบผู้เสียชีวิตภายหลังการฉีดวัคซีน แต่เมื่อชันสูตรแล้วพบว่าไม่เกี่ยวข้องกับวัคซีน ส่วนกรณีพบอาการข้างเคียงหลังฉีดวัคซีน เช่น การเกิดลิ่มเลือด องค์การอนามัยโลกได้ให้ข้อมูลว่าหลังฉีดวัคซีนแอสตร้าเซนเนก้า ฉีด 1 ล้านคน พบการเกิดลิ่มเลือด 1 คน ถือว่าน้อยมาก ขอให้ประชาชนมั่นใจ "
12,"           กระทรวงสาธารณสุขอินเดียรายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 382,315 คน นับเป็นวันที่ 14 ติดต่อกันแล้วที่ยอดผู้ติดเชื้อรายวันของอินเดีย เกินกว่า 3 แสนคนและมีผู้เสียชีวิตเพิ่มอีก 3,780 คน ในรอบ 24 ชั่วโมงที่ผ่านมาส่งผลให้อินเดียมียอดผู้เสียชีวิต 226,188 คน และมียอด  ผู้ติดเชื้อสะสมมากกว่า 20,660,000 คน"
13,"            สำนักงานควบคุมและป้องกันโรคแห่งเกาหลีใต้ หรือ เคดีซีเอ รายงานพบผู้ติดเชื้อโรคโควิด-19 รายใหม่ 676 คน ในรอบ 24 ชั่วโมงที่ผ่านมา ส่วนใหญ่ยังคงเป็นการติดเชื้อแบบกลุ่มย่อยในพื้นที่กรุงโซลและจังหวัดคยองกี ส่งผลให้มียอดผู้ติดเชื้อสะสมเกือบ 125,000 คน และมียอดผู้เสียชีวิต 1,847 คน "
14,               หนังสือพิมพ์เดอะไทม์สของอังกฤษ รายงานโดยอ้างการเปิดเผยของ ศาสตราจารย์คริส วิตตี้ หัวหน้าที่ปรึกษาด้านการแพทย์ของอังกฤษ ที่ระบุว่ารัฐบาลจะดำเนินการฉีดวัคซีนโควิด-19 เข็มที่สาม ให้ชาวอังกฤษที่มีอายุ 50 ปี ขึ้นไป ในช่วงฤดูใบไม้ร่วงระหว่างเดือนกันยายน ถึงพฤศจิกายน นี้ เพื่อขจัดความเสี่ยงการแพร่ระบาดโรคโควิด-19ในช่วงเทศกาลคริสต์มาส
15,พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม กล่าวถึงการจัดหาและการฉีดวัคซีน ที่ได้กำหนดให้เป็นเป็นมาตรการเร่งด่วน โดยมีเป้าหมายคือ ภายในสิ้นปีนี้ ประชากรในประเทศไทยต้องได้รับวัคซีนอย่างน้อยร้อยละ 70 หรือคิดเป็นประชากร 50 ล้านคน โดยต้องใช้วัคซีนทั้งสิ้น 100 ล้านโดส ซึ่งขณะนี้ประเทศไทยมีวัคซีนตามแผนแล้ว 63 ล้านโดส โดย 61 ล้านโดสนี้ เป็นวัคซีนของบริษัทแอสตร้าเซนเนก้า ที่จะผลิตในประเทศไทยและจะเริ่มส่งมอบได้แน่นอนในเดือนมิถุนายนนี้ เพื่อเริ่มทำการฉีดให้กับประชาชนกลุ่มเสี่ยง คือผู้สูงอายุและผู้มีโรคประจำตัวได้ทันทีจำนวน 16 ล้านคน นอกจากนั้นในเดือนนี้ จะได้รับวัคซีนซิโนแวคมาเพิ่มเติมจากแผนอีก 3.5 ล้านโดส เพื่อระดมฉีดให้กับบุคลากรด่านหน้าและผู้อยู่ในพื้นที่เสี่ยงให้มากที่สุด และกระทรวงสาธารณสุข ยังเสนอแผนการจัดหาวัคซีนเพิ่มเติม คือวัคซีนไฟเซอร์ จำนวน 5-20 ล้านโดส วัคซีนสปุตนิก วี วัคซีนจอห์นสันแอนด์จอห์นสัน และวัคซีนซิโนแวค บริษัทละ 5-10 ล้านโดส รวมทั้งวัคซีนอื่นที่จะมีการขึ้นทะเบียนในอนาคต
16,รายงานพิเศษ: วัคซีนโควิด-19 ของโมเดอร์นา อีกหนึ่งทางเลือกการรับมือโรคโควิด-19 (6 พ.ค. 2564 ภาค 12.00 น.)
17,ข่าวต่างประเทศประจำวันพฤหัสบดีที่ 6 พฤษภาคม 2564
18,  นางสุปรียา ชาร์มา หัวหน้าที่ปรึกษาด้านการแพทย์ของกระทรวงสาธารณสุขแคนาดา                 แถลงเมื่อวานนี้ว่า แคนาดาได้อนุมัติใช้วัคซีนโควิด-19 ของไฟเซอร์ในเด็กอายุ 12-15 ปี กลายเป็นประเทศแรกในโลกที่อนุมัติใช้วัคซีนขนานนี้ในกลุ่มเด็กอายุดังกล่าว และวัคซีนไฟเซอร์เป็นวัคซีนขนานแรกที่ได้รับการอนุมัติใช้ในแคนาดา เพื่อป้องกันการติดเชื้อโควิด-19 ในเด็ก อีกทั้งยังถือเป็นก้าวสำคัญของแคนาดาในการต่อสู้กับโรคโควิด-19 ด้วย
19,
20,นายบิล เดอ บลาซิโอ นายกเทศมนตรีนครนิวยอร์กของสหรัฐแถลงว่า นครนิวยอร์กพร้อมที่จะฉีดวัคซีนโควิด-19 ของจอห์นสัน แอนด์ จอห์นสัน ให้กับบรรดานักท่องเที่ยว โดยจะจัดหารถฉีดวัคซีนเคลื่อนที่ไปจอดให้บริการในเขตแมนฮัตตัน สวนสาธารณะบรูคลิน บริดจ์ และสถานที่อื่นๆ อย่างเร็วที่สุดภายในช่วงสุดสัปดาห์นี้ และคาดว่าการดำเนินการดังกล่าวจะได้รับการอนุมัติจากทางการรัฐนิวยอร์ก
21,        นายแพทย์สาธารณสุขจังหวัดนครสวรรค์ ยืนยันกระทรวงสาธารณสุข เน้นย้ำ ว่าการฉีดวัคซีนมีประโยชน์ป้องกันเจ็บป่วยรุนแรง และลดเสียชีวิตได้เกือบ 100 เปอร์เซ็นต์ สร้างภูมิคุ้มกันให้กับตนเอง และปกป้องครอบครัว ชุมชน ประเทศชาติ
22,    เยอรมนีจะอนุญาตให้ใช้วัคซีนโควิด-19 ของแอสตราเซเนกากับประชาชนวัยผู้ใหญ่ทุกช่วงอายุ จากเดิมที่จำกัดให้ใช้เฉพาะผู้มีอายุ 60 ปีขึ้นไป 
23,"    กระทรวงสาธารณสุขบราซิล รายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 73,380 คน และมีผู้เสียชีวิตเพิ่มอีก 2,550 คน ในรอบ 24 ชั่วโมง ที่ผ่านมา ส่งผลให้มียอดผู้เสียชีวิตเกือบ 417,000 คน และมียอดผู้ติดเชื้อสะสมราว 15,003,000 คน ทำให้บราซิล เป็นประเทศที่สาม ถัดจากสหรัฐฯ และอินเดีย ที่มียอดผู้ติดเชื้อโควิด-19 สะสม มากกว่า 15 ล้านคน "
24,
25,    องค์การอนามัยโลกขอให้รัฐบาลประเทศต่างๆระงับการฉีดวัคซีนโควิด-19ในเด็กไว้ก่อน จนกว่าประชากรในวัยผู้ใหญ่และกลุ่มเสี่ยงจะได้รับวัคซีนเรียบร้อยแล้ว 
26,
27," เมื่อวันที่ 5 พฤษภาคม 2564 ทางการมาเลเซีย เดินหน้าฉีดวัคซีนแอสตราเซเนกาให้แก่ประชาชน โดยเปิดให้ประชาชนผู้สมัครใจลงทะเบียนจองสิทธิ์ในวันอาทิตย์ที่ 2 พฤษภาคมที่ผ่าน ซึ่งปรากฏว่ายอดจองฉีดวัคซีน 268,000 โดสเต็มหมดในเวลาเพียงแค่ 3 ชั่วโมง "
28, บริษัทไฟเซอร์ออกแถลงการณ์เมื่อวานนี้ว่า ทางบริษัทได้ยื่นคำร้องต่อองค์การอาหารและยาสหรัฐอย่างเป็นทางการ เพื่อขออนุมัติใช้งานวัคซีนโควิด-19ที่พัฒนาร่วมกับบริษัทไบโอเอ็นเทคของเยอรมนี ในแบบปกติ  โดยการอนุมัติดังกล่าวจะช่วยยกระดับความเชื่อมั่นของชาวอเมริกันและประชาชนทั่วโลก เนื่องจากปัจจุบันวัคซีนโควิด-19 ทุกขนาน ได้รับการอนุมัติใช้เป็นกรณีฉุกเฉิน จึงทำให้มีผู้คนจำนวนไม่น้อยยังลังเลที่จะรับวัคซีน
29,
30,           แถลงการณ์ของบริษัทไบโอเอ็นเทคของเยอรมนีวานนี้ระบุว่า วัคซีนโควิด-19 ที่พัฒนาโดยบริษัทไฟเซอร์ของสหรัฐและบริษัทไบโอเอ็นเทค ไม่จำเป็นต้องได้รับการปรับปรุงเพื่อให้มีประสิทธิภาพในการต้านเชื้อกลายพันธุ์ของโรคโควิด-19 ได้ และพร้อมกันนี้ก็ได้ประกาศแผนใหม่ในการยกระดับการผลิตวัคซีน        
31,    สำนักข่าวต่างประเทศ รายงานว่า สำนักงานอาหารและยาของสหรัฐฯ หรือ เอฟดีเอ อนุญาตให้ฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กับเด็กที่มีอายุระหว่าง 12 – 15 ปี ซึ่งจะเป็นก้าวสำคัญในการรับมือกับการแพร่ระบาดโรคโควิด-19 และยังเป็นการช่วยปกป้องเด็กๆ จากการติดเชื้อโควิด-19 เพื่อให้กลับไปใช้ชีวิตตามปกติ และหยุดยั้งการแพร่ระบาด 
32,
33,           นางอีเมอร์ คุก ผู้อำนวยการองค์การยายุโรปหรืออีเอ็มเอ กล่าววานนี้ว่า การฉีดวัคซีน       โควิด-19 ของบริษัทไบโอเอ็นเทค/ไฟเซอร์ ในผู้ที่อายุระหว่าง 12-15 ปี จะได้รับการอนุมัติเร็วๆ นี้ หรือเร็วสุดในเดือนนี้
34,    ผลการศึกษาในสภาวะใช้งานจริงซึ่งได้รับการสนับสนุนจากกระทรวงสาธารณสุขของกาตาร์ พบว่า วัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทค มีประสิทธิภาพถึงร้อยละ 97 ในการป้องกันการเกิดอาการรุนแรงและเสียชีวิตในผู้ติดเชื้อกลายพันธุ์สายพันธุ์อังกฤษและแอฟริกาใต้อย่างไรก็ตามวัคซีนดังกล่าวมีประสิทธิภาพลดลงอยู่ที่ร้อยละ 75 ในการป้องกันการติดเชื้อสายพันธุ์ แอฟริกาใต้
35,           นายคัตสึโนบุ คาโตะ เลขาธิการคณะรัฐมนตรีของญี่ปุ่น ออกแถลงการณ์ที่ระบุว่า รัฐบาลญี่ปุ่น เตรียมดำเนินการฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค ในเด็กอายุ ระหว่าง 12-15 ปี เพื่อลดความเสี่ยงการติดเชื้อโควิด-19 หลังจำนวนผู้ติดเชื้อโควิด-19 ในกลุ่มเด็กและวัยรุ่น เพิ่มขึ้นอย่างต่อเนื่อง ท่ามกลางสถานการณ์การแพร่ระบาดระลอกใหม่
36,โฆษกกระทรวงการต่างประเทศ ระบุ ยังไม่มีคำขออนุญาตนำเข้าวัคซีนโควิด-19 จากสถานเอกอัครราชทูตสหรัฐอเมริกาประจำประเทศไทย พร้อมย้ำ ไทยมีนโยบายที่จะฉีดวัคซีนให้ทุกคนที่อยู่ในประเทศ แต่ต้องปฏิบัติตามกฎเกณฑ์และข้อบังคับตามกฎหมายไทย
37,
38,    สื่อสหรัฐฯ รายงานว่า ที่ปรึกษาด้านนวัคซีนของศูนย์ควบคุมและป้องกันโรคแห่งสหรัฐฯ หรือซีดีซี มีมติแนะนำให้ใช้วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กับเด็กอายุระหว่าง 12-15 ปี ได้แล้ว หลังสำนักงานอาหารและยาของสหรัฐฯ อนุญาตให้ฉีดวัคซีนของไฟเซอร์-ไบโอเอ็นเทค กับกลุ่มเด็กที่มีช่วงอายุดังกล่าว เมื่อวันจันทร์ที่ผ่านมา
39,           นักวิจัยแห่งมหาวิทยาลัยออกซ์ฟอร์ดเปิดเผยผลวิจัยการใช้วัคซีนโควิด-19 ของไฟเซอร์และแอสตราเซเนการ่วมกัน โดยการฉีดวัคซีนแอสตราเซเนกาโดสแรก ตามด้วยวัคซีนไฟเซอร์เป็นโดสที่สอง ซึ่งพบว่า เกิดผลข้างเคียงมากกว่าการใช้วัคซีนตัวเดิมในการฉีดทั้งสองโดส แต่               ผลข้างเคียงส่วนใหญ่ไม่รุนแรงนัก 
40,    เด็กวัยรุ่น อายุระหว่าง 12-15 ปี ในรัฐแคลิฟอร์เนียของสหรัฐเริ่มทยอยฉีดวัคซีนไฟเซอร์แล้วเมื่อวานนี้ หลังทางการอนุมัติใช้วัคซีนของไฟเซอร์ในเด็กอายุ 12 ปีขึ้นไปได้ โดยศูนย์ควบคุมและป้องกันโรคสหรัฐระบุว่า เด็กที่ได้รับวัคซีนจะสามารถไปออกค่ายฤดูร้อนและเข้าเรียนในห้องเรียนได้ตามปกติ. 
41,วัคซีนโควิด-19 แอสตร้าเซเนก้า วัคซีนที่ประเทศได้รับสิทธิ์ในการผลิตตั้งแต่กระบวนการต้นน้ำโดยบริษัท สยามไบโอไซเอนซ์ จำกัด ขณะนี้ได้ผ่านเกณฑ์การตรวจสอบคุณภาพจากห้องปฏิบัติการวิเคราะห์ของแอสตร้าเซนเนก้าทั้งในยุโรปและสหรัฐอเมริกาเป็นที่เรียบร้อยแล้ว และเป็นวัคซีนประสิทธิภาพเดียวกับที่ได้รับการอนุมัติให้ใช้ในกรณีฉุกเฉินแล้วทั้งสิ้น 70 ประเทศทั่วโลก และการได้รับอนุมัติทะเบียนโดยองค์การอนามัยโลก
42,"            กระทรวงสาธารณสุขเวียดนามรายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 127 คน นับเป็นวันที่สองติดต่อกัน ที่มียอดผู้ติดเชื้อรายวัน มากกว่า 100 คน ส่วนใหญ่เป็นผู้ติดเชื้อในจังหวัดทางตอนเหนือของประเทศ ซึ่งอยู่ภายใต้มาตรการล็อกดาวน์ นอกจากนี้ ยังมีรายงานพบผู้เสียชีวิตจากโรคโควิด-19 รายแรก เป็นหญิงชาวเวียดนาม อายุ 86 ปี ซึ่งมีโรคประจำตัวหลายโรค ทำให้เวลานี้ เวียดนามมียอดผู้ติดเชื้อสะสม 4,112 คน และมีผู้เสียชีวิต 1 คน"
43,            สื่อสหรัฐฯ รายงานโดยอ้างแถลงการณ์ของ ประธานาธิบดีโจ ไบเดน ผู้นำสหรัฐฯที่ประกาศว่า สหรัฐฯ จะแบ่งปันวัคซีนโควิด-19 จำนวน 80 ล้านโดส ซึ่งคิดเป็นร้อยละ13 ของปริมาณวัคซีนโควิด-19 ที่ผลิตในประเทศ ให้กับนานาชาติ ภายในระยะเวลา 6 สัปดาห์ นับจากนี้ โดยแบ่งเป็นวัคซีนของไฟเซอร์-ไบโอเอ็นเทค โมเดอร์นา และจอห์นสันแอนด์จอห์นสัน รวมกันกว่า 20 ล้านโดส และวัคซีนของแอสตราเซเนกา อีก 60 ล้านโดส ทันทีที่วัคซีนดังกล่าว ผ่านการอนุมัติจากสำนักงานอาหารและยาของสหรัฐฯ หรือ เอฟดีเอ
44,
45,สิงคโปร์กลายเป็นประเทศแรกในเอเชียที่อนุมัติให้ฉีดวัคซีนโควิด-19 ของไฟเซอร์/ไบโอเอ็นเทค ในเด็กอายุ 12-15 ปี โดยสำนักงานวิทยาศาสตร์สุขภาพสิงคโปร์อนุมัติดังกล่าวหลังได้พิจารณาทบทวนข้อมูลทางคลินิกจากบริษัทไฟเซอร์ ซึ่งปัจจุบันวัคซีนขนานนี้ได้รับการอนุมัติใช้ในผู้มีอายุ 16 ปีขึ้นไปเท่านั้น
46,"           กระทรวงสาธารณสุขสิงคโปร์แถลงว่า พบผู้ติดเชื้อโควิด-19 รายใหม่ 38 คนเมื่อวานนี้ ส่วนใหญ่เป็นการติดเชื้อในประเทศ โดยในจำนวนนี้ 16 คนเชื่อมโยงกับผู้ป่วยก่อนหน้า และอีก 11 คนไม่ทราบต้นตอการติดเชื้อ ทำให้เวลานี้สิงคโปร์มียอดผู้ติดเชื้อโควิด-19สะสมแล้วกว่า 61,000 คนขณะเดียวกันสิงคโปร์ได้อนุมัติให้ฉีดวัคซีนโควิด-19 ของไฟเซอร์ในเด็กอายุ12-15 ปีแล้ว ซึ่งนับเป็นชาติแรกในเอเชียที่อนุมัติดังกล่าว."
47,
48,           นายแพทย์แอนโทนี เฟาซี ที่ปรึกษาระดับสูงด้านโรคระบาดของสหรัฐแถลงเมื่อวานนี้ว่า จากผลการศึกษาเบื้องต้นหลายชิ้นพบว่า วัคซีนของไฟเซอร์และโมเดอร์นา สามารถป้องกันอาการป่วยรุนแรง การเข้ารักษาในโรงพยาบาลและการเสียชีวิตได้อย่างน้อยบางส่วนหรืออาจทั้งหมด ซึ่งเป็นเหตุผลหนึ่งที่สำคัญมากๆว่าทำไมจึงควรฉีดวัคซีน
49,
50,     นพ.วิฑูรย์ ด่านวิบูลย์ ผู้อำนวยการองค์การเภสัชกรรม เปิดเผยว่าช่วงเช้าที่ผ่านมา (20 พฤษภาคม 2564) ตนเองลงพื้นที่เขตปลอดอากรและคลังสินค้า ท่าอากาศยานสุวรรณภูมิ จังหวัดสมุทรปราการ รับมอบวัคซีนโควิด-19 ของซิโนแวคจากประเทศจีน เพิ่มอีก 1.5 ล้านโดส โดยก่อนหน้านี้ได้นำเข้าวัคซีนซิโนแวคมาแล้ว 8 ล็อต 
51,
52,    สำนักข่าวต่างประเทศ รายงานว่า รัฐบาลญี่ปุ่นเตรียมอนุมัติการใช้วัคซีนโควิด-19 ของโมเดอร์นา และแอสตราเซเนกราในวันนี้ หลังจากคณะกรรมธิการด้านสาธารณสุขของรัฐบาล มีมติรับรองประสิทธิภาพของวัคซีนดังกล่าว และสนับสนุนให้อนุมัติการใช้วัคซีนทั้ง 2 ชนิด เป็นกรณีฉุกเฉิน เพิ่มเติมจากวัคซีนของไฟเซอร์-ไบโอเอ็นเทค ที่อนุมัติไปแล้วก่อนหน้านี้ 
53,           ญี่ปุ่นอนุมัติวัคซีนโควิด-19 ของบริษัทโมเดอร์นา และบริษัทแอนตราเซเนกา อย่างเป็นทางการแล้ววันนี้ แต่จะยังไม่ใช้ทันที เนื่องจากกังวลเกี่ยวกับการเกิดภาวะลิ่มเลือดอุดตันที่ไม่เกิดขึ้นบ่อยนัก
54,        บ่ายวันนี้ (21 พค.64) นายณัฐภัทร สุวรรณประทีปผู้ว่าราชการจังหวัดสุพรรณบุรี พร้อมด้วยรองผู้ว่าราชการจังหวัดประชุมคณะกรรมการโรคติดต่อจังหวัดสุพรรณบุรี ครั้งที่ 14/2 564 และคณะกรรมการศูนย์ปฏิบัติการควบคุมโรคจังหวัดสุพรรณบุรีที่ห้องประชุมศาลากลางจังหวัดสุพรรณบุรี เพื่อติดตามสถานการณ์ ไวรัสโควิด- 19 ซึ่งวันนี้เป็นวันแรก ที่จังหวัดสุพรรณบุรีไม่มีผู้ติดเชื้อรายใหม่ ในรอบการระบาดเดือนเมษายน 2564 เป็นต้นมา อย่างไรก็ตามยังไม่น่าไว้วางใจเพราะจังหวัดข้างเคียงยังมีผู้ติดเชื้อเพิ่มอย่างต่อเนื่อง จึงยังต้องมีมาตรการคุมเข้มต่อไป รวมทั้งการสุ่มตรวจเชิงรุก ในกลุ่มเสี่ยงต่างๆ
55,           บรรดาบริษัทผู้ผลิตวัคซีนโควิด-19 ให้คำมั่นต่อที่ประชุมสุดยอดด้านสุขภาพของกลุ่มประเทศเศรษฐกิจขนาดใหญ่และประเทศเศรษฐกิจเกิดใหม่ 20 ชาติหรือจี 20 วานนี้ว่า จะแบ่งปันวัคซีนหลายพันล้านโดสให้ประเทศยากจน และจะขยายการเข้าถึงการฉีดวัคซีน ซึ่งเป็นเพียงหนทางเดียวที่จะยุติการแพร่ระบาดของโรคโควิด-19           
56,"         วันนี้ (22 พ.ค. 64) นายสมบัติ ผดุงวิทย์วัฒนา นายแพทย์สาธารณสุขจังหวัดสตูล เปิดเผยรายงานจำนวนผู้เข้ารับการฉีดวัคซีนป้องกันโรค COVID-19 จังหวัดสตูล ระหว่างวันที่ 28 กุมภาพันธ์ - 21 พฤษภาคม 2564 โดยจังหวัดสตูลได้รับการจัดสรรวัคซีนจำนวน 13,680 โดส ยอดการจองวัคซีน? กลุ่ม?อายุ 60 ปีขึ้นไป?และ?กลุ่ม?ผู้?มีโรค?ประจำตัว 52,342 คน เข้ารับการฉีดวัคซีนแล้ว เข็มที่ 1 จำนวน 7,822 คน และเข็มที่ 2 จำนวน 3,268 คน บุคลากรทางการแพทย์/สาธารณสุข และ อสม. เข้ารับการฉีดวัคซีนเข็มที่ 1 แล้ว 4,940 คน (ข้อมูล ณ วันที่ 21 พ.ค. 64) "
57,          จังหวัดยะลา พร้อมเปิด 9 จุด ฉีดวัคซีนโควิด-19 ดีเดย์ 7 มิถุนายน 2564 พร้อมกัน ขณะยอดจองแล้วกว่าหนึ่งหมื่นห้าพันคน
58,    สำนักข่าวต่างประเทศ รายงานโดยอ้างการเปิดเผยของพลตำรวจโท กิลเลอร์โม เอเลอาซาร์ ผู้บัญชาการสำนักงานตำรวจแห่งชาติฟิลิปปินส์ ที่ระบุว่า เจ้าหน้าที่ตำรวจได้รับแจ้งว่า มีการลักลอบขายวัคซีนโควิด-19 และคิวเข้ารับการฉีดวัคซีนโควิด-19 ผ่านสื่อสังคมออนไลน์ ซึ่งขณะนี้ เจ้าหน้าที่ตำรวจดำเนินการสืบสวนจนใกล้ระบุตัว และจับกุมผู้ที่อยู่เบื้องหลัง การกระทำดังกล่าว
59,    สำนักข่าวต่างประเทศ รายงานว่า ทางการเกาหลีใต้ เตรียมทดลองทางคลินิกกระบวนการฉีดวัคซีนโควิด-19 แบบผสม โดยฉีดวัคซีนเข็มแรก ด้วยวัคซีนของแอสตราเซเนกรา และฉีดวัคซีนเข็มที่สอง ด้วยวัคซีนของไฟเซอร์-ไบโอเอ็นเทค และวัคซีนตัวอื่น โดยมีทหาร 500 นาย เป็นอาสาสมัครในการทดลองดังกล่าว เพื่อแก้ไขปัญหาการขาดแคลนวัคซีน และปัญหาด้านความปลอดภัยจากความล่าช้าในกระบวนการฉีดวัคซีนโควิด-19
60,    สำนักงานสาธารณสุขอังกฤษ เผยแพร่ผลการศึกษาเกี่ยวกับประสิทธิภาพของวัคซีนโควิด-19 ในการป้องกันเชื้อโควิด-19 ชนิดกลายพันธุ์ หลังรับวัคซีนครบ แล้ว 2 โดส นาน 2 สัปดาห์ โดยระบุว่า วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิผล ร้อยละ 88 ในการต้านเชื้อโควิด-19 สายพันธุ์ บี 1.617.2 ซึ่งพบครั้งแรกในอินเดีย และมีประสิทธิผล ร้อยละ 93 ในการต้านเชื้อโควิด-19 สายพันธุ์ บี 1.1.7 ซึ่งพบครั้งแรกในเมืองเคนท์ของอังกฤษ ส่วนวัคซีนโควิด-19 ของแอสตราเซเนกรา มีประสิทธิภาพร้อยละ 60 ในการต้านเชื้อโควิด-19 สายพันธุ์อินเดีย และร้อยละ 66 ในการต้านเชื้อโควิด-19 สายพันธุ์อังกฤษ 
