,news_text
10,ประชาชนในพื้นที่ อ.เมืองยะลา ทั้งประชาชนทั่วไป ผู้ใหญ่ ผู้สูงอายุ  นักศึกษา ที่ได้ลงทะเบียนจองฉีดวัคซีน โมเดอร์นา  ไว้กับ ทาง รพ.ยะลา ซึ่งได้เปิดรับลงทะเบียนเมื่อวานนี้ 1 ธ.ค.64 ได้ทยอยเดินทางมาเข้ารับวัคซีนกันอย่างต่อเนื่อง ที่หน่วยฉีดวัคซีนโควิด-19 อาคารศรีนิบง ศูนย์เยาวชนเทศบาลนครยะลา
11,          สำนักงานความมั่นคงด้านสุขภาพอังกฤษ หรือ ยูเคเอชเอสเอ(UKHSA) ยืนยันเมื่อวานนี้ว่า พบผู้ติดเชื้อโควิด-19 กลายพันธุ์สายพันธุ์โอไมครอนอีก 9 คน ทำให้ยอดสะสมผู้ติดเชื้อดังกล่าวเพิ่มขึ้นเป็น 32 คนแล้ว
12,"(2 ธ.ค.2564) ที่ศูนย์แถลงข่าว ศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง ห้องลิบง ชั้น 2 ศาลากลางจังหวัดตรัง นายแพทย์ตุลกานต์ มักคุ้น นายแพทย์ชำนาญการพิเศษ โรงพยาบาลตรัง ในฐานะโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง พร้อมด้วย แพทย์หญิงทิพย์ลดา บุญชัย นายแพทย์ชำนาญการ โรงพยาบาลตรัง ในฐานะรองโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง ร่วมแถลงข่าวสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 โดยในวันนี้ จังหวัดตรังพบผู้ป่วยโควิด -19 รายใหม่ 88 ราย เป็นติดเชื้อในจังหวัดตรัง 82 ราย และติดเชื้อจากต่างจังหวัด 6 ราย รวมผู้ติดเชื้อตามการระบาดระลอกใหม่ตั้งแต่วันที่ 1 เมษายน 2564 จำนวน 15,978 ราย เสียชีวิตเพิ่มวันนี้ 1 ราย เป็นผู้เสียชีวิตรายที่ 82 จำแนกผู้ป่วยเป็นรายอำเภอดังนี้ อำเภอกันตัง 12 ราย อำเภอนาโยง 5 ราย อำเภอปะเหลียน 7 ราย อำเภอเมืองตรัง 37 ราย อำเภอย่านตาขาว 10 ราย อำเภอวังวิเศษ 3 ราย อำเภอสิเกา 1 ราย อำเภอห้วยยอด 7 ราย สำหรับอำเภอรัษฎา และอำเภอหาดสำราญ ไม่มีการรายงานพบผู้ติดเชื้อรายใหม่ ในวันนี้มีผู้ป่วยรักษาหายจำนวน 84 ราย หายป่วยสะสม 15,297 ราย รักษาหายร้อยละ 95.73"
13,"นายแพทย์ประเสริฐ กิจสุวรรณรัตน์ นายแพทย์สาธารณสุขจังหวัดลำปาง เปิดเผยว่า จังหวัดลำปางได้เพิ่มความเข้มข้นในการกระตุ้นให้ประชาชนชาวลำปางกลุ่มเป้าหมาย ที่มีอายุ 12 ปีขึ้นไป ที่ยังไม่ได้รับการฉีดวัคซีนป้องกันโควิด-19 อีกประมาณ 70,000 คน สามารถ walk in เข้ารับบริการฉีดวัคซีน ณ ศูนย์บริการฉีดวัคซีนโควิด-19 ที่อยู่ใกล้บ้าน จนถึงวันที่ 5 ธันวาคม 2564 โดยไม่ต้องลงทะเบียนจองล่วงหน้า "
14,"วันนี้ (2 ธันวาคม 2564) เวลา 13.30 น. ที่ห้องประชุมธรรมจักร (501) ชั้น 5 ศาลากลางจังหวัดชัยนาท นายรังสรรค์ ตันเจริญ ผู้ว่าราชการจังหวัดชัยนาท เป็นประธานการประชุมคณะกรรมการโรคติดต่อจังหวัดชัยนาท ครั้งที่ 45/2564 โดยสำนักงานสาธารณสุขจังหวัดชัยนาท ได้รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ของทั่วโลก ประเทศไทย และการประชาสัมพันธ์สำหรับประชาชนที่ได้รับวัคซีนซิโนแวค หรือซิโนฟาร์ม ครบ 2 เข็มแล้ว หากจะขอรับวัคซีน เข็มที่ 3 pfizer จะต้องมีระยะห่าง จากการฉีดวัคซีนเข็ม 2 จำนวน 60 วันขึ้นไป โดยสามารถติดต่อ ลงทะเบียนตั้งแต่วันนี้ - 10 ธ.ค.64 ที่ รพ.สต.ใกล้บ้าน ทั้งนี้ จังหวัดชัยนาท รวมทั้งการรายงานผลการดำเนินงานบริการวัคซีน COVID-19 ซึ่งภาพรวมการฉีดวัคซีนจังหวัดชัยนาท ข้อมูล ณ วันที่ 1 ธันวาคม 2564 มีผู้ฉีดวัคซีนเข็มที่ 1 จำนวน 245,737 คน หรือคิดเป็นร้อยละ 76.59"
15,จังหวัดภูเก็ต โซเชียลเผยแพร่ประชาชนโวยวายหลังจากมารอคิวฉีดไฟเซอร์ สุดท้ายกลับไปเปลี่ยนผ้าแล้วได้ฉีดตามคิว วันนี้ (2 ธ.ค. 64) จากกรณีที่มีการเผยแพร่ทางสื่อโซเชียลมีเดียว่ามารอคิวฉีดวัคซีนไฟเซอร์ที่ทางโรงพยาบาลวชิระภูเก็ตให้ประชาชนสามารถเดินทาง (walk in) มาฉีดได้เลยที่ศูนย์ฉีดวัคซีนโรงยิม 4000 ที่นั่งสะพานหิน 
16,วันที่ 2 ธันวาคม 2564 ณ วิทยาลัยพยาบาลบรมราชชนนีนครลำปาง  พลตรีอโณทัย ชัยมงคล ผู้บัญชาการมณฑลทหารบกที่ 32 ผู้อำนวยการศูนย์อำนวยการจิตอาสาพระราชทานมณฑลทหารบกที่ 32 มอบหมายให้วิทยากรจิตอาสา 904 และกำลังพลจิตอาสากองพันทหารราบที่ 2 กรมทหารราบที่ 17 อำนวยความสะดวกให้กับผู้มารับบริการฉีดวัคซีน โดยการ Walk in ตามโครงการของจังหวัดลำปาง Special Offer เลือกสูตรได้ตามใจท่าน สำหรับผู้อายุตั้งแต่ 12 ปีขึ้นไป และยังไม่ได้รับการฉีดวัคซีน โดยผู้ใช้บริการสามารถเลือกรับวัคซีนตามความต้องการดังนี้
17,"นพ.ปรเมฐ์ กิ่งโก้ นายแพทย์สาธารณสุขจังหวัดอุดรธานี เชิญชวนประชาชนลงทะเบียนฉีดวัคซีนไฟเซอร์-ไฟเซอร์ รอบแรก 100,000 โดส หรือ 50,000 คน ลงทะเบียนวันนี้ฉีดที่ศูนย์บริการฉีดวัคฉีดใกล้บ้าน ตอนนี้พี่น้องประชาชนชาวจังหวัดอุดรธานีที่ยังรอการฉีดวัคซีนไฟเซอร์ เพื่อสร้างภูมิคุ้มกันป้องกันโควิด -19 ทางจังหวัดอุดรธานี โดยสำนักงานสาธารณสุขจังหวัดอุดรธานี ขอประชาสัมพันธ์ให้ทุกท่านรีบไปลงทะเบียนรับการฉีดวัคซีน เพราะจังหวัดได้รับการจัดสรรวัคซีนไฟเซอร์มา 100,000 โดส หรือ 50,000 คน และจะทำการฉีดวัคซีนไฟเชฮร์ให้ประชาชนทั้ง 20 อำเภอ ตามยอดที่ลงทะเบียนในวันที่ 3 และ 4 ธันวาคมนี้ จึงขอประชาสัมพันธ์ให้ประชาชนที่รอวัคซีนไฟเซอร์รีบลงทะเบียนเข้ารับการฉีดวัคซีน ที่โรงพยาบาลใกล้บ้าน"
18,จ.ยะลา เดินหน้าเร่งฉีดวัคซีนให้กับพี่น้องประชาชน ซึ่งได้ตั้งเป้าหมาย 70 % ภายในวันที่ 5 ธันวาคม 2564 โดยวันนี้ 3 ธ.ค.64 หน่วยบริหารฉีดวัคซีน อ.เมืองยะลา อาคารศรีนิบงศูนย์เยาวชนเทศบาลนครยะลา ได้เปิดให้บริการฉีดวัคซีนโมเดอร์นา  เป็นวันที่ 2 หลังได้เปิดไปเมื่อวานนี้ เป็นวันแรก พันกว่าโดส ขณะที่ มีประชาชน ที่จองฉีด และ Walk in  ทยอยเข้ารับบริการกันอย่างต่อเนื่อง 
19,"วันนี้ (3 ธ.ค. 64) ที่ศูนย์แถลงข่าว ศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง ห้องลิบง ชั้น 2 ศาลากลางจังหวัดตรัง นายแพทย์ ตุลกานต์ มักคุ้น นายแพทย์ชำนาญการพิเศษ โรงพยาบาลตรัง ในฐานะโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง และแพทย์หญิงทิพย์ลดา บุญชัย นายแพทย์ชำนาญการ โรงพยาบาลตรัง ในฐานะรองโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง แถลงสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 พบผู้ป่วยโควิด 19 รายใหม่ 87 ราย แบ่งเป็นติดเชื้อในจังหวัดตรัง 85 ราย ติดเชื้อจากที่อื่น 2 ราย รวมผู้ติดเชื้อตามการระบาดระลอกใหม่ตั้งแต่วันที่ 1 เมษายน 2564  จำนวน  16,065 ราย ผลการตรวจด้วย ATK เป็นบวก 238  ราย จากผลตรวจ 1,707 ราย "
20,วันนี้ (3 ธ.ค. 64) ที่ห้างสรรพสินค้าโรบินสันตรัง นายแพทย์ตุลกานต์ มักคุ้น นายแพทย์ชำนาญการพิเศษ โรงพยาบาลตรัง ในฐานะโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 จังหวัดตรัง พร้อมด้วย แถลงข่าวสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 
21,"นายแพทย์ธวัชชัย ปานทอง ผู้อำนวยการโรงพยาบาลพะเยา มอบหมายให้ นายแพทย์กอสิน จันทร์จอม นายแพทย์ชำนาญการ นำทีมแพทย์ พยาบาล บุคลากรทางการแพทย์ โรงพยาบาลพะเยา ลงพื้นที่เชิงรุกในชุมชนตำบลบ้านต๋อม ฉีดวัคซีนไฟเซอร์เข็มที่ 2 จำนวน 260 ราย, ตำบลแม่ปืม จำนวน 286 ราย รวมทั้งหมด 546 ราย ให้แก่กลุ่มผู้สูงอายุ กลุ่มเสี่ยง 7 โรค และผู้ป่วยติดเตียง ที่ประสงค์รับวัคซีน ท่ามกลางความดีใจของผู้มาใช้บริการในครั้งนี้ โดยไม่ต้องเดินทางไปฉีดวัคซีน ที่โรงพยาบาล ที่สำคัญบุคคลส่วนใหญ่ที่ฉีดวัคซีนนั้นเป็นกลุ่มผู้สูงอายุที่นั่งรถเข็นและป่วยติดเตียง ในครั้งนี้ไม่พบผู้มีอาการไม่พึงประสงค์หลังฉีด"
22,วันนี้ (3 ธ.ค. 64) ที่ห้างบิ๊กซีสตูล นายประหยัด สุขขี ผู้อำนวยการสำนักงานเขตพื้นที่การศึกษาประถมศึกษาสตูล (ผอ.สพป.สตูล) กล่าวว่า สพป.สตูล เล็งเห็นความสำคัญของนักเรียนบนเกาะต่าง ๆ จึงได้ประสานสำนักงานสาธารณสุขจังหวัดสตูล เพื่อนำนักเรียนจากโรงเรียนบ้านเกาะหลีเป๊ะเข้ารับการฉีดวัคซีนไฟเซอร์ให้กับนักเรียนกลุ่มเป้าหมาย ซึ่งเป็นกลุ่มเก็บตกที่เหลืออีกจำนวนไม่มาก เพื่อเตรียมความพร้อมก่อนเปิดการเรียนการสอนแบบปกติ (On Site) อีกทั้งเพื่อเป็นการสร้างความเชื่อมั่นต่อนักท่องเที่ยวด้วย เพราะหากโรงเรียนยังปิดอยู่และเด็ก ๆ ยังไม่ได้ไปโรงเรียนอาจเป็นส่วนหนึ่งที่สะท้อนให้เห็นว่าความปลอดภัยยังไม่ดีพอ 
23,ประชาชนทยอยเข้ารับการฉีดวัคซีนต่อเนื่อง อุดรธานีปรับสูตรวัคซีนให้ตรงใจประชาชน ล่าสุดไฟเซอร์-ไฟเซอร์ เพื่อรณรงค์ให้ประชาชนเกิดภูมิคุ้มกันหมู่ เข้าถึงประชาชนทุกกลุ่มวัย ลดความรุนแรงของโควิด-19 จากกรณีการติดเชื้อ ผู้สนใจลงทะเบียนฉีดวัคซีนได้ที่ศูนย์บริการฉีดวัคซีนอำเภอและสถานพยาบาลใกล้บ้าน วันที่ 3 ธันวาคม 2564 ที่อาคารเอนกประสงค์กิจกรรมนักศึกษา มหาวิทยาลัยราชภัฎอุดรธานี ประชาชนเดินทางเข้ารับการฉีดวัคซีนต่อเนื่อง 
24, วันนี้ 4 ธันวาคม 2564 นายแพทย์ประเสริฐ กิจสุวรรณรัตน์ นายแพทย์สาธารณสุขจังหวัดลำปาง และคณะ ร่วมตรวจเยี่ยมการให้บริการฉีดวัคซีนป้องกันโควิด-19 ณ ศูนย์ฉีดวัคซีนอำเภอเมือง วิทยาลัยพยาบาลบรมราชชนนี นครลำปาง พร้อมพบปะพูดคุยและสร้างการรับรู้ให้แก่ประชาชนที่มารอรับวัคซีน ซึ่งมีประชาชนมารอรับบริการจำนวนมาก และเดินทางมารับบริการอย่างต่อเนื่อง ภายหลังที่จังหวัดลำปางได้รณรงค์อย่างเข้มข้นและต่อเนื่อง เพื่อให้ประชาชนเข้ารับการฉีดวัคซีนป้องกันโควิด-19 ในการสร้างภูมิคุ้มกันหมู่ตามนโยบาย 100 วัน 100% คนลำปางฉีดวัคซีนครบ 100% ภายใน 100 วัน
25,"จ.ยะลา มีผู้ติดเชื้อโควิด-19 วันที่ 4 ธ.ค.จำนวน 120 ราย ยังคงติดอันดับท็อปเท็นลำดับที่ 8 พร้อมกลุ่มภาคใต้อีก 4 จังหวัดคือ จ.นครศรีธรรมราชที่ 2 จำนวน 396 ราย จ.สงขลาที่ 3 จำนวน 325 ราย จ.สุราษฎร์ธานีที่ 4 จำนวน 169 ราย และปัตตานีที่ 6  จำนวน 159 ราย จ.ยะลาพบในอ.เมือง 62 ราย อ.รามัน 15 ราย อ.บันนังสตา 12 ราย อ.เบตง 11 ราย อ.ยะหา 10 ราย อ.กรงปินัง 8 ราย และ อ.กาบัง 2 ราย ยอดสะสม 47,446 ราย รักษาหาย 47,709 ราย เสียชีวิตสะสม 333 ราย"
26,นายนิวัฒน์ รุ่งสาคร ผู้ว่าราชการจังหวัดลพบุรี แจ้งว่า สถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 หรือโควิด-19 ของจังหวัดลพบุรี ขณะนี้มีจำนวนผู้ป่วยที่ลดลงกว่าในช่วงที่ผ่านมา แต่ยังคงต้องเฝ้าระวังและตรวจติดตามในกลุ่มโรงงาน/สถานประกอบการ ตลาดสด/ตลาดนัด โรงเรียน และเฝ้าระวังในการรวมกลุ่มของประชาชนให้ปฏิบัติตามมาตรการป้องกันควบคุมโรค เช่น การจัดงานตามประเพณีต่าง การจัดงานเลี้ยง และเคร่งครัดมาตรการ DMHT คือการเว้นระยะห่าง สวมหน้ากาก ล้างมือบ่อย ๆ และตรวจวัดอุณหภูมิก่อนเข้าร่วมกิจกรรมต่างๆ ในชุมชน รวมทั้งการฉีดวัคซีนให้ครอบคลุมกลุ่มเป้าหมาย      
27,
28,
29,โรงพยาบาลแม่สะเรียง เชิญชวนประชาชน ทำดีเพื่อพ่อ พาพ่อฉีดวัคซีน ในวันอาทิตย์ที่ 5 ธันวาคม 2564 ณ ศูนย์ฉีดวัคซีนโควิด-19 โรงพยาบาลแม่สะเรียง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน ตั้งแต่เวลา 08.30 น. -15.30 น. โดยจัดให้บริการฉีดวัคซีน 3 แบบ ดังนี้ 1.วัคซีนซิโนฟาร์ม (เข็มที่ 1 มีจำนวนจำกัดเพียง 62 คนเท่านั้น 2. วัคซีนโควิด-19 สูตรเข็มที่ 1 แอสตร้าเซเนกา เข็มที่ 2 ไฟเซอร์หรือแอสตร้าเซเนกา ในกรณีจำเป็น 3. วัคซีนไข้หวัดใหญ่(FLU vaccine) ผู้สนใจสามารถเข้ารับวัคซีนได้แบบ Walk in โดยไม่ต้องลงทะเบียนล่วงหน้า และเตรียมบัตรประจำตัวประชาชนมาแสดงในวันที่รับบริการด้วย เน้นย้ำ กลุ่มผู้สูงอายุ ผู้ป่วยโรคเรื้อรัง และหญิงตั้งครรภ์ เป็นกลุ่มเสี่ยงสูงต่ออาการรุนแรงจากการติดเชื้อโควิด-19 หากยังไม่ได้ฉีดวัคซีนขอให้ไปติดต่อขอรับบริการโดยเร็วที่สุด
30,           เจ้าหน้าที่ออสเตรเลียประกาศวันนี้ว่า ทางการได้อนุมัติการใช้วัคซีนโควิด-19 ในเด็กอายุ 5-11 ปีเป็นครั้งแรกแล้ว และจะเริ่มฉีดให้เด็กช่วงอายุดังกล่าวต้นปีหน้า 
